nomor,nama_akun,tanggal_komentar,komentar,komentar_preprocessing
1551,Hody Gosal,2023-09-13T00:21:37Z,kalo saya jadi polisi... kl yg dagang narkoba dikit2 saya penjarakan.. kl yg dagang jumlah besar.. saya lepaskan.. tp habiskan dulu itu semua narkoba yg kedapatan<br>. suruh telan semua.. baru lepaskan saja..,polisi dagang narkoba dikit penjara dagang lepas tapi habis narkoba dapat suruh telan lepas
1553,Ashadi cahyadin Cahyadin,2023-09-16T15:44:53Z,"Masrakat sangat apreasi kinerja polri ,semoga koruptor juga di Brantas seperti mafia narkoba,bravo polri",masrakat apreasi kerja polri moga koruptor berantas mafia narkoba bravo polri
1558,Rachmat Widianto,2023-09-15T19:08:53Z,"Semenjak Rezim ini ada, semua terorganisasi perjudian online, narkoba, pelacuran, dan yg baru menangkap,mengusir/menggusur Rakyat demi CUAN  jadi tak ada hal yg tak aneh diNEGRI kita saat ini,,",semenjak rezim organisasi judi online narkoba lacur tangkap usir gusur rakyat cuan aneh dinegri
1561,Ramses Ramses,2023-09-13T02:27:36Z,Mudah&quot; an apa yg keluar dari kata&quot; aparat ini di lakukan dgn jujur jgn sampai di simpan separohnya malah bermain di belakang malah jendralnya yg bermain dgn anggotanya,mudah quot quot aparat laku dengan jujur jangan simpan separoh main jendral main dengan anggota
1562,Jurnalis Chaniago,2023-09-15T17:32:19Z,Kabeskrim mabes polri menangkap cukong2 narkoba kelas kakap dan menyita narkoba dan menyita aset2 nya total semua 10 triliun cek cek banyak ya duitnya..ini baru diKalimantan selatan belom lagi daerah2 lain.. Pasti Cukong2 Cina sudah mengirim ber ton ton Narkoba di NKRI ini  pasti tujuannya duit dan lahan2 strategis yg mau mereka kuasai.. Seperti dulu negara Inggris dan Prancis mengirim berton ton candu2 buat melemahkan Rakyat tiongkok.. Sekarang ilmunya dipakai buat menguasai lahan strategis diNKRI ini. .. Waspada dan waspada..,kabeskrim mabes polri tangkap cukong narkoba kelas kakap sita narkoba sita aset total triliun cek cek duit dikalimantan selatan bom daerah cukong cina kirim ber ton ton narkoba nkri tuju duit lahan strategis kuasa negara inggris prancis kirim ton ton candu lemah rakyat tiongkok ilmu pakai kuasa lahan strategis dinkri waspada waspada
1574,CHANNELOS COV,2023-09-12T23:39:58Z,"banyak polisi yg kerjasama dgn pengedar bahkan jadi pengedar juga. <br>tapi ada juga polisi yg menangkap pengedar, itulah polisi indonesia, akhlaknya gak jauh beda dgn rakyatnya.",polisi kerjasama dengan peedar peedar polisi tangkap peedar polisi indonesia akhlak gak beda dengan rakyat
1579,Fatmah Machmud,2023-09-19T04:38:46Z,Stuju pa pol pengedar Narkoba n Koruptor dkasi hukuman brt n dimiskinkan sdh lm masyarakat Indonesia memintax tapi pmerintah blm mau melakdanakanx,stuju pa pol peedar narkoba koruptor dkasi hukum brt miskin sudah lm masyarakat indonesia memintax pmerintah blm melakdanakanx
1581,Swarno Wawang,2023-09-17T01:35:36Z,"Rakya indonesia bangga terhadap bapak polisi yg bisa sergap jaringan ini,semoga pak kapolri sehat slalu ,dan bisa menangkap yang lebih besar lagi kalau bisa hukum mati saja",rakyat indonesia bangga polisi sergap jaring moga kapolri sehat selalu tangkap hukum mati
1585,Sagu Art,2023-09-13T12:32:04Z,Terimakasih utk POLRI..betapa generasi bangsa akan rusak jika mereka sindikat ini berhasil dijalankan di Indonesia..Tuhan berkati para petugas yg sudah bekerja🌹🙏,terimakasih untuk polri betapa generasi bangsa rusak sindikat hasil jalan indonesia tuhan berkat tugas
1589,Dwi Gita Fansiska Ramadani,2023-09-13T09:08:05Z,Maaf nih tanya 🙊 BB nya uang cash apakah gak kwatir oknum polisi ngantongin bareng&quot; dengan total sebanyak itu? ☺,maaf bb uang cash gak kwatir oknum polisi ngantongin bareng quot total
