Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
89,sama tv,2023-09-15T17:28:50Z,Ini belum seberapa pak.. Masih bnyak lg jaringan2 internasional yg bermain khusus nya dr jalur sumatra..,banyak lagi jaring internasional main dr jalur sumatra
90,Nasib Manik,2023-09-13T04:45:17Z,"Bongkar habis jaringan narkoba dan antek antek ilegal .....cara cara cina .....ttpu ,aset aset bayar hutangg nkri hanis subsidi tapi malas narkoba anak banyak istri bamyak merusak warga yg baik dan benar",bongkar habis jaring narkoba antek antek ilegal cina ttapiu aset aset bayar hutangg nkri hanis subsidi malas narkoba anak istri bamyak rusak warga
91,Lutfi Gifalileo,2023-09-13T03:04:55Z,"yg perlu di ungkap backing yg terima uaang setoran itu, mereka yg di tangkap cuma wayang aja ayooooo tangkap dooong yg penerima uang setoran baru jempolaannnn",backing terima uaang setor tangkap wayang ayooooo tangkap dooong terima uang setor jempolaannnn
92,m.yusuf j1ace,2023-09-19T01:32:30Z,barang.bukti.disita.nanti.dijual.komendannya.kaya.td.minahahasa.masyarakat.tdkk. percaya.lagi.dg.polri.,barang bukti sita jual komendan kaya td minahahasa masayarakat tidakk percaya dg polri
93,Sidik setiawan,2023-09-15T16:41:36Z,Teddy minahasa apakar curang aparat ini ga metral sama sekali sumpah gw enek sama BNN PENGADILAM DAN POLISI bersumpah gw kaga percaya lagi,teddy minahasa apakar curang aparat tidak metral sumpah enek bnn pengadilam polisi sumpah kaga percaya
94,Kunang Channel,2023-09-12T23:05:15Z,"Slrh yg terlibat beredarnya narkoba hrs benar2 dibasmi krn tlh menelan byk korban merusak moral, mental dan akhlak generasi muda penerus bangsa",slrh libat edar narkoba hrs benar basmi karena tlh tel byk korban rusak moral mental akhlak generasi muda terus bangsa
95,JBc89,2023-09-16T10:18:33Z,Ayo dong Indonesia buat peraturan seperti pilipina tembak di tempat saja tembak mati bahaya narkoba kepada anak anak muda penerus bangsa.,ayo indonesia atur pilipina tembak tembak mati bahaya narkoba anak anak muda terus bangsa
96,bocil  gg,2023-09-18T13:14:27Z,"Mantap gan,cepat banget ,gercep. Tes tes ... Harun mas mas 😁 , apa nunggu 3 lebaran lagi.",mantap gan cepat gercep tes tes harun mas mas nunggu  lebaran
97,Berry Kapor,2023-09-15T08:37:29Z,Miris sekarang narkoba udh masuk ke desa² dgn gampangnya tapi aparat kayak g ada reaksi apa².. seharusnya polda harus turun langsung ke polres² di daerah ² periksa semua polisi yg bertugas di daerah²,miris narkoba sudah desa dengan gampang aparat kayak reaksi polda turun polres daerah periksa polisi tugas daerah
98,Tempe Bongkrek,2023-09-13T00:42:55Z,"Semoga para penegak hukum jaksa hakim polisi pengacara tidak mau terima suap, selamat  bertugas",moga tegak hukum jaksa hakim polisi acara terima suap selamat tugas
99,Ibu Suryati,2023-09-14T04:25:57Z,"Btulllll se777 skaleee!!  Tangkappp pelaku, sita uang &amp; harta hsil kejahatannya!!<br>💪💪😊👍👍🇮🇩🇮🇩❤",btulllll    skaleee tangkappp laku sita uang harta hsil jahat
100,eyang Kus family,2023-09-14T03:21:09Z,Usul kalau pas sidang jangan dikasih pakai peci atribut umat muslim 🙏,usul pas sidang kasih pakai peci atribut umat muslim
101,Anas Asror,2023-09-17T08:02:58Z,"Bravo jendral.  Jangan lupa juga kartel2 pinjol,judi online,investasi bodong,berantas semua karena meresahkan rakyat",bravo jendral lupa kartel pinjol judi online investasi bodong berantas resah rakyat
102,Perjuangan Dan doa,2023-09-13T00:44:53Z,"Lw GK dihukum mati bandar&quot;narkoba GK bkl kapok ngedarin trus ke generasi muda Indonesia,mohon pengadilan ,hukum mati semua,bandar&quot;narkoba,inih dah merusak generasi&quot;muda",lw hukum mati bandar narkoba bkl kapok ngedarin terus generasi muda indonesia adil hukum mati bandar narkoba inih rusak generasi muda
103,Andi Sunaryadi,2023-09-19T05:15:28Z,Semua pelakunya pk tolong dihukum mati saja td ada gunanya mrk hidup,laku pk tolong hukum mati td guna mrk hidup
104,Bocil epep,2023-09-13T02:04:54Z,Polri harus disemangati dan diapresiasi.jgn blm apa2 dibully dsb.mereka ntar loyo berantas narkoba,polri semangat apresiasi jangan blm apa dibully dsb ntar loyo berantas narkoba
105,April ,2023-09-13T05:56:55Z,Didlm aja katanya peredaran gencar apa lg di luar.... Maknai aja lura dan dlm...!!!! Hal ini di ungkap cerita2 yg prnh ada di dlm,didalam edar gencar lagi makna lura dalam cerita prnh dalam
106,Jarwok Ganteng,2023-09-12T22:55:04Z,Klo dugaan saya yg orang awam ini... sebelumnya juga sebesar besar ini.. tapi dugaan saya hasilnya di bagi bagi... karena sudah cukup hampir kenyang... dan mau ganti oligarki atau rezim ya ...ya beginilah untuk...bla...bla...bla,kalau duga awam duga hasil kenyang ganti oligarki rezim bla bla bla
107,Ahmad Fikri,2023-09-16T07:12:41Z,CAAIIIIIRRRRRRR 🤣<br>SEKILO AJA BANYAK DUITNYA <br>APALAGI 10T<br>Pura2 ga tau aja dah 🤣🤣,caaiiiiirrrrrrr kilo duit    tidak tau
108,Romli Romli,2023-09-12T23:01:43Z,Walah pak pelaku nya polisi juga ma komunis insya allah korban nya kebanyakan penduduk kafe kafe dan discotik,walah laku polisi komunis insaya allah korban banyak duduk kafe kafe discotik
109,Samsi Vivo,2023-09-19T17:45:32Z,"IN SEMUA BOHONG UJUNGNYA, KERJA SIA SIA, HUKUMNYA BEBAS JUGA NGG AD HUKUMAN MAKSIMAL, SY YAKIN KASUS IN KABUR, REZIM NARKOBA, OOOOOOH JOKOWI BOHONG LAGI, MODUS KLU ORG MISKIN DI HUKUMAN DIMATI",bohong ujung sia sia hukum bebas ngg ada hukum maksimal saya kabur rezim narkoba ooooooh jokowi bohong modus kalau orang miskin hukum mati
110,satria baja,2023-09-13T00:33:46Z,Uangnya nanti dikemanakan ya... Apakah masuk ke kas Negara?...10 T itu bisa menambah biaya utk menlanjutkan pembangunan IKN lho!,uang mana kas negara  tambah biaya untuk menlanjutkan bangun ikn lho
111,Keleketu Babara,2023-09-19T01:15:33Z,Knp bodoh skali org&quot; ini ya ???<br>Barang yg ga boleh di kerjakan knp di kerjakan ?? Knp ga bisa jadi org miskin ...?? Dari pada siksa jadi boronan dan di penjara mendingan hidup bebas dgn keadaan miskin 👍👍👍,knp bodoh skali orang barang tidak kerja knp kerja knp tidak orang miskin siksa boron penjara mending hidup bebas dengan miskin
112,Romi Ismawan,2023-09-13T12:59:49Z,"Itu sampah gak usah di itung2 total lah,, mafia dn oknum2 harus di kebiri.hehehehehe<br>Apa di kirim ke korut.",sampah gak itung total mafia dan ooknum kebiri heheheheheapa kirim korut
113,Mat Jais,2023-09-16T22:28:54Z,Basmi terus pak polisi jg biarkan mereka yg menghancur generasi bsngsa ini brapo polisi harga mati,basmi polisi juga biar hancur generasi bsngsa brapo polisi harga mati
114,𝐑𝐢𝐬𝐮𝐭𝐚,2023-09-24T05:40:53Z,Wait a minute !<br>BTW sabu yg 10 ton kemana? Duitnya juga kemana? <br>Jangan di alihkan dong guys.,wait mute btw sabu  mana duit mana alih guys
115,Ziad Patata,2023-09-13T01:46:24Z,"Sudah rahasia umum kalau ada oknum-oknum aparat yg  terlibat, gak mungkin bisnis kotor kecil jadi besar secara aman kalau ga ada oknum anu yg terlibat",rahasia ooknum ooknum aparat libat gak bisnis kotor aman tidak ooknum anu libat
116,Tri Widodo,2023-09-15T03:53:05Z,negara paling banyak punya pagar betis untuk pembatas kejahatan<br>tapi dgn leluasa kejahatan terus berlangsung<br>orang bodohpun bisa tahu narkoba dan kjahatan lainnya sudah dipastikan ada campurtangan dr abdi negara dgn peran masing2,negara pagar betis batas kejahatantapi dengan leluasa jahat berlangsungorang bodoh narkoba kjahatan campurtangan dr abdi negara dengan peran masing
117,THE FAMILY PAREESA YARA JESNA ASYAKIEB,2023-09-14T04:47:38Z,"Beking beking tu di hukum mati sekalian.....,,,enak banget tunggu tf ja dia...perbulan..,,,Karir lho udah berakhir bos...",beking beking hukum mati tunggu tf ja bulan karir lho sudah bos
118,Republik INDONESIA,2023-09-16T14:06:23Z,"Sebenernya polisi udh tau lama kasus itu😂, Cuma baru dibongkar pas Nama Kepolisian lagi Jelek aja😂,  Logika artis yang bawa narkoba 3 gram aja ketahuan, ini Narkoba Ber ton ton Masa baru ketahuan 😂😂😂",sebener polisi sudah tau bongkar pas nama polisi jelek logika artis bawa narkoba  gram tahu narkoba ber tahu
119,petis kangkung71,2023-09-19T16:45:44Z,"Rak sah ngo sui , tembak mati tes ...rampung",rak sah ngo sui tembak mati tes rampung
120,TTSM,2023-09-15T14:34:15Z,W heran sama pengedar narkoba uang udah banyak tapi masih jual narkoba???..padalan uang nya banyak tinggal menikmattin hidup dengan enak tapi masih jual narkoba aja...aneh tapi nyata,heran edar narkoba uang sudah jual narkoba padalan uang tinggal menikmattin hidup jual narkoba aneh
121,Siti,2023-09-12T23:19:34Z,Ye allah kasihan anak dan istrinya di nafkahin dengan uwg haram,ye allah kasihan anak istri nafkahin uwg haram
122,Josua Manalu,2023-09-15T03:51:14Z,"Bagus lah tangkap lagi pelaku dan bandar narkoba dan judi online juga tangkap serta jaringan judi online ,jangan indonesia tempat barang haram narkoba ,sudah hancur generasi muda akibat narkoba dan judi online juga ,tangkap jangan kasih ampun<br>Terus periksa oknum anggota kepolisian yang terlibat ,jangan dikasih ampun bawak",bagus tangkap laku bandar narkoba judi online tangkap jaring judi online indonesia barang haram narkoba hancur generasi muda akibat narkoba judi online tangkap kasih ampunterus periksa ooknum anggota polisi libat kasih ampun bawak
123,Gunawan Haris,2023-09-16T07:16:14Z,KORUPTOR MISKINKAN DAN HUKUM MATI.. INDONESIA CEPAT MAJU OTOMATI,koruptor miskin hukum mati indonesia cepat maju otomat
124,Jon Surbati,2023-09-15T23:33:19Z,Terima kasih tuk kepolisian yg telah  tulus tuk menjalin dan mengungkap peredaran narkoba🙏👍,terima kasih tuk polisi tulus tuk jalin ungkap edar narkoba
125,Erzan Drajat,2023-09-17T14:43:41Z,Bukan hal baru krn bbrp oknum2 penegak hukum sdiri yg melegalkan peredaran narkoba,karena bbrp ooknum tegak hukum sdiri legal edar narkoba
126,pendekar,2023-09-13T12:20:32Z,Polisi udah berusaha keras menangkap bandar narkoba eeehhh mpe di pengadilan dapat hukuman seperti maling sandal,polisi sudah usaha keras tangkap bandar narkoba eeehhh mpe adil hukum maling sandal
127,bidansyah,2023-09-15T16:07:50Z,Jika ingin berantas indonesia bisa...jika bukan oknum berbintang barang haram tak akan bisa msk indonesia,berantas indonesia ooknum bintang barang haram msk indonesia
128,Wan Thobo,2023-09-16T09:19:30Z,Mau di ke manakan bangsa ini sbenarnya???? Kasus narkoba tak henti2nya brhenti sampai di sini....siapa di belakang smua ini ? Hendaknya mulai saat ini narkoba hrs hilang.....krn jlas merusak generasi muda dan tatanan bangsa negara.....jlas trdampak ke semua lapisan masyarakat luas....dan ahirnya masa depan bangsa ini akqn hancur lebur...,manakan bangsa sbenar narkoba  brhenti semua narkoba hrs hhilang karena jlas rusak generasi muda tatanan bangsa negara jlas trdampak lapis masayarakat luas ahir bangsa akqn hancur lebur
129,Hadi Syah,2023-09-18T17:41:34Z,Ingat tu aparat...uang nya di bayar kan hutang negara..uang sitaan jangan pulak di masuk kin kantong masing2 aparat..bunyi nya aja di sita...padahal aparat sama  gembong narkoba sama aja...,aparat uang bayar hutang negara uang sita pulak kin kantong masing aparat bunyi sita aparat gembong narkoba
130,Lensa Keadilan,2023-09-13T00:42:50Z,"Masalah narkoba tidak bisa di tuntaskan kerana tidak ada perlawanan yang utuh dan padu. Mengapa demikian?<br><br>Kerana bisnes narkoba gede banget, bisa menggiurkan sesiapa saje yang mendambakan kekayaan dunia<br><br>Apalagi dengan sistem negara ada pemimpin negara yang terlibat. Ahli politik butuh dana besar buat kampanye. Kalau hanya mengharapkan penjual bakso, mungkin ga seberapa. <br><br>Maka ketika ahli politik tersebut  sukses di kampanye dan menjadi pemimpin negara, mereka akan menggunakan aparatus negara dan polisi melindung atau paling tidak, menutup mata dengan aktivitas negara. Makanya pernah ada isu bisnes narkoba dalam penjara<br><br>Kasus seperti ini bukab hanya di Indonesia malah hampir di seluruh negara di dunia<br><br>Bukan hanya bisnes narkoba, bisnes perjudian pun demikian juga sehingga ada aparatus negara seperti polisi bukan hanya  membiarkan, malah melindungi  bisnes perjudian untuk mendapat upeti dari bandar judi dan narkoba<br><br>Pencegahan penggunaan narkoba tidak begitu sulit di kurangi malah di hapus. Iyanya harus bermula dari rumah dan  sekolah. Setelah itu, RT, RW Camat dan seterusnya bisa memainkan peranan memantau warga mereka dan melaporkan jika ada yang menggunakan narkoba",narkoba tuntas rana lawan utuh padu rana bisnes narkoba gede giur siapa saje damba kaya duniaapalagi sistem negara pimpin negara libat ahli politik butuh dana kampanye harap jual bakso tidak ahli politik sukses kampanye pimpin negara aparatus negara polisi lindung tutup aktivitas negara isu bisnes narkoba penjarakasus bukab indonesia negara duniabukan bisnes narkoba bisnes judi aparatus negara polisi biar lindung bisnes judi upeti bandar judi narkobapencegahan guna narkoba sulit kurang hapus iya rumah sekolah rt rw camat main peran pantau warga lapor narkoba
131,nungky casyuhara,2023-09-13T04:49:14Z,"Kok aneh y bisa bisa ny masuk ke indonesia,yg jdi pertanyaan ny, kok bea dan cukai bisa meloloskan barang haram sprti ini, gimna tuuh..., kasihan loh generasi anak anak Indonesia..., mau dibuat generasi ny lumpuh dan ediot gegara narkobay ini... &quot; Iiiiiiiiihhh... Menyeramkan &quot;.kok polisi  bisa ga tau y barang ini berkembang biak di Indonesia. Putuskan  biang kerok narkobay ini. 😮😮😮",aneh indonesia jadi bea cukai lolos barang haram sprti gimna tuuh kasihan loh generasi anak anak indonesia generasi lumpuh ediot gegara narkobay iiiiiiiiihhh seram polisi tidak tau barang kembang biak indonesia putus biang kerok narkobay
132,Surya Devanata,2023-09-13T04:51:49Z,Giliran Thailand ngomong kenapa diputus selesai sih? 🙄 Gak ngerti bahasanya ya?,gilir thailand ngomong putus selesai gak ngerti bahasa
133,Mawar Bodas86,2023-09-17T07:50:02Z,"Nahh ini baru patut saya apresiasi,,, tetap yg benar diatas segalanya,,, mantap pa kawal kasusnya terus dan ungkap sampai keakar-akarnya",nahh patut apresiasi atas mantap pa kawal kasus akar akar
134,Samsung Mega,2023-09-16T13:46:27Z,YOKOPO LEK DIUDEK 1 KG AN SABU TERUS DILOGOKNO CANGKEME DEWE2,yokopo lek udek  kg sabu dilogokno cangkeme dewe
135,Muh. Ishak Muh. Ishaq,2023-09-12T23:52:59Z,"👍👍👍Mantap Kapolri. Tangkap semua Pemasok, Pengedar jual beli Narkoba,,, dan kerjasama nya.",mantap kapolri tangkap pasok edar jual beli narkoba kerjasama
136,Agus Darmawan,2023-10-08T06:26:53Z,"&quot;PASTI ADA DEKINGANNYA &quot; PERTANYAANNYA &quot; KLU TDK ADA DEKINGANNYA KNP BARANG HARAM ITU BISA MASUK KE NKRI&quot; SEANDAINYA DIJAGA KETAT DI JLN TIKUS DI DAERAH DAERAH MANAPUN SEPERTI SARAWAK  TENTU BARANG HARAM ITU TDK BISA MASUK KE NKRI,&quot; DAN HARUS JAGA DIPERKETAT DI BEACUKAI DAN CARGO CARGO..",deking tanya kalau tidak deking knp barang haram nkri anda jaga ketat jln tikus daerah daerah mana sarawak barang haram tidak nkri jaga ketat beacukai cargo cargo
137,Cicak Kacik,2023-09-13T11:41:43Z,boleh dong pak pol nya dikasi reward biar semangat utk trus membongkar praktek2 yg sama,pol kasi reward biar semangat untuk terus bongkar praktek
138,Candu Video,2023-09-18T09:26:14Z,"Tembak matii saja semua aampah*negara ini pak sampahh sampah yang akan merusak anak cucu kita nanti ,jika diberikan hukuman ringan mereka gak bakal kapok kecuali tembak mati atau di racun saja pak.",tembak mati aampah negara sampahh sampah rusak anak cucu hukum ringan gak kapok kecuali tembak mati racun
139,Tibers Trg,2023-09-14T12:58:45Z,"Berngsek pantes ahir ahir ini agak susah cari uang,rupa rupanya di timbun di sini",berngsek pantes ahir ahir susah cari uang timbun
140,Carlos Torus,2023-09-15T16:54:41Z,"Mantap,,tindak tegas para mafia narkoba ,,agr negara kita bersih narkoba,,,",mantap tindak mafia narkoba agr negara bersih narkoba
141,Tiah Tiah,2023-09-17T04:49:53Z,"Semoga negara kita punya polisi yng hebat2  jangan terjadi lagi salah sasaran tukang bangunan d matiin, blm tentu salah, siapa yng tanggung jawab anak nya yatim",moga negara polisi yng hebat salah sasar tukang bangun matiin blm salah yng tanggung anak yatim
142,Bambang agus santoso,2023-09-13T01:55:52Z,"Mantap pak, ini baru betul 👍👍👍👍👍👍👍👍👍👍<br>Semoga kedepannya KORUPTOR juga di miskinkan.<br>Majulah Indonesia 👍👍👍🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩<br>Salam anak rantau Johor.",mantap moga depan koruptor miskin maju indonesia anak rantau johor
143,Super Man,2023-09-15T21:11:52Z,BRAVOOOO... SAYA UCAP KAN TERIMAKASIH BANYAK KEPADA POLRI INDONESIA... DENGAN ADA PENANGKAPAN SINDIKAT BESAR INI KALIAN TELAH MENYELAMAT KAN ANAK2 DAN BANGSA INDONESIA... GOOD JOB... KLO BISA JGN CMN DI MISKIN KAN.. HUKUM MATI BIAR GA ADA LG DAJJAL PENGEDAR BESAR YG MERSAK GENERASI BANGSA... MERDEKAAAA...,bravoooo terimakasih polri indonesia tangkap sindikat selamat anak bangsa indonesia good job kalau jangan miskin hukum mati biar tidak lagi dajjal edar mersak generasi bangsa merdekaaaa
144,Pak Sandy,2023-09-17T13:24:08Z,Ini baru polri yng saya warga indonesa bangga bentuk Apriasi polri.,polri yng warga indonesa bangga bentuk apriasi polri
145,Abselo Nius,2023-09-14T23:21:55Z,"Ini bukan terobosan, tapi kemaun, keberanian dan tekat yg tulus, karena fakta dilapangan yang terjadi adalah pembiaran oleh para oknum, karena mereka mendapat vy dan setoran dari hasil penjualan tersebut.",terobos kemaun berani tekat tulus fakta lapang biar ooknum vy setor hasil jual
146,Rider Kaga Ngarti,2023-09-13T07:40:59Z,D sita juga ntr d sebarin lg ma dia...jd g efek apa2 cuma pencitraan aja...seakan akan polisi bagus kerja nya...😂😂,sita ntr sebarin lagi efek apa citra akan polisi bagus
147,Pieter Nenang,2023-09-13T02:12:09Z,KORUPTOR &amp; BANDAR NARKOBA TEMBAK MATI. Jngn tunggu proses hukum yg aneh2..,koruptor bandar narkoba tembak mati jangan tunggu proses hukum aneh
148,Tqa - Stay Classic,2023-09-13T05:01:19Z,Kalau ga dihukum mati sih kelewat aja ini. Narkoba udah merusak banyak keluarga,tidak hukum mati lewat narkoba sudah rusak keluarga
