Nomor,Nama Akun,Tanggal Komentar,Komentar,Komentar_Preprocessing
768,ahmad subandi,2023-09-19T02:42:21Z,"Tmvak mati ,,banyak generasi rusak lihat negara lain yg maju ,,undang² buang yg sifatnya kasihan berani berbuat Bernai menerima resiko akibatnya,,omnibuslow penghianat bangsa",tmvak mati generasi rusak negara maju undang buang sifat kasihan berani buat bernai terima resiko akibat omnibuslow penghianat bangsa
769,Sbk,2023-09-13T01:35:00Z,"Baguuus sih,tp saya masih blm percaya barang hasil sitaan nya di musnahkan sm polisi 😂 drpd nganggur,mending dijual lg 😂 lumayan",baguuus tapi blm percaya barang hasil sita musnah polisi drpd nganggur mending jual lagi lumayan
770,po,2023-09-16T23:52:59Z,Semoga polri serius lagi karena kaseriusan polri menentukan kemajuan negara Indonesia,moga polri serius kaseriusan polri tentu maju negara indonesia
771,terminal krembung,2023-09-12T22:42:53Z,Ini baru keren...semoga penegakan hukum di negara ini semakin bagus...yg pntng gk di ganti tawas sprti yg kmrn&quot; 😢,keren moga tega hukum negara bagus pntng ganti tawas sprti kmrn
772,aris sofianto,2023-09-13T00:15:35Z,"koruptor coy,,,hukum mati aku sebagai rakyat baru puas,,, ada apa kok tidak ada yg berani  kasi hukuman mati pada koruptor",koruptor coy hukum mati rakyat puas berani kasi hukum mati koruptor
773,Ali Rahman,2023-09-13T16:36:36Z,Hukum mati semua  barang bukti musnahin kasih tau publik musnahin barang bukti ya,hukum mati barang bukti musnahin kasih tau publik musnahin barang bukti
774,Sukirman Heri siswanto,2023-09-29T06:30:50Z,Masukkan saja satu gedung bandar narkoba sama para koruptor baru di boom ini yang menghancurkan negara Dan generasi mudah Indonesia,masuk gedung bandar narkoba koruptor boom hancur negara generasi mudah indonesia
775,Anjay Anjay,2023-09-16T05:33:25Z,"Narkoba dihukum mati, alasanya merusak generasi muda, koruptor nga dihukum mati alasanya nga tau ap, pdhl koruptor memakan duit rakyat dan rakyatnya pun terlena dalam kebutuhan hidup dan anak2 mereka",narkoba hukum mati alasa rusak generasi muda koruptor nga hukum mati alasa nga tau ap koruptor makan duit rakyat rakyat lena butuh hidup anak
776,KTE@,2023-09-13T05:13:23Z,Untuk netizen jangan awasi pelaku saja tapi awasi juga oknum oknum yg bisa saja mengambil keuntungan....,netizen awas laku awas ooknum ooknum ambil untung
777,Noch Moningka,2023-09-15T12:16:38Z,Hal yg sangat serius bg aparat kepolisian agar seluruh sindikat narkoba diusut tuntas. Bravo bpk2 pollisi,serius aparat polisi sindikat narkoba usut tuntas bravo bpk pollisi
778,🅥 𝙋𝙐𝘽𝙇𝙄𝘾 𝙎𝙃𝙄𝙀𝙇𝘿 𝙄𝘿,2023-09-16T00:57:37Z,"Mereka yg merusak dan meracuni negara yg mayoritas usia produktif justru bukan negara maju, disini sering/bahkan setiap hari kasus2 ini. Saya curiga apa para pengedar ini didanai olh orng berpengaruh dari negara lain  karena biaya mereka kesana kemari itu tdk murah",rusak racun negara mayoritas usia produktif negara maju kasus curiga edar dana olh orng pengaruh negara biaya kesana kemari tidak murah
779,Fahrul Anam,2023-09-16T05:38:00Z,Yg bintang bintang  kenyang tu      selain kenyang sama duit nya  barang buktu d edarkan lagi,bintang bintang kenyang kenyang duit barang buktu edar
780,Alasman Saragih,2023-09-17T15:26:16Z,"Indonesia..pasar  narkoba  yg paling  AMAN, NYAMAN.<br>CONTOH MALESYA   <br>COBA  SAJA TDK AKAN ADA YG BERANI.  TARUHAN  NYA,  MATI DAN IKUT KELUARGANYA..  JUGA MATI.  MAMPUKAH INDONESIA TERAPKAN  SPT   UU  MALESYA.  .??<br>TDK  AKAN   MAMPU. <br>KRN  HAKIM., JAKSA,  JUGA  NARKOBAON...",indonesia pasar narkoba aman nyaman contoh malesaya coba tidak berani taruh mati keluarga mati indonesia terap uu malesaya tidak karena hakim jaksa narkobaon
781,Aisyahizzam,2023-09-15T00:59:32Z,Alhamdulillah... POLRI bisa membongkar sindikat Narkoba ( bubuk Sabu) semoga aparat Polri benar benar konsisten tuk menangkap jaringan Narkoba di NKRI karena Sabu sangat menghancurkan semua anak anak bangsa.. Alhamdulillah... Alhamdulillah... mantaap POLRI kita...,polri bongkar sindikat narkoba bubuk sabu moga aparat polri konsisten tuk tangkap jaring narkoba nkri sabu hancur anak anak bangsa mantaap polri
782,Syam nawali,2023-09-13T01:01:13Z,"Terima kasih untuk polri karna sudah menindak cepat kejadian tersebut ,,,<br>Seharusnya pecat langsung saja untuk pelajaran bagi supir&quot; bus pe.a lainya yg suka melawan arah",terima kasih polri karena tindak cepat jadi pecat ajar supir bus pe lai suka lawan arah
